0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:37:46 +0100] "GET /axis2/ HTTP/1.1" 200 3471
127.0.0.1 - - [04/Mar/2015:22:37:50 +0100] "POST /axis2/services/Version HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:37:50 +0100] "GET /axis2/axis2-web/HappyAxis.jsp HTTP/1.1" 200 17378
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:39:22 +0100] "GET /axis2/services/listServices HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:39:33 +0100] "GET /axis2/services/ListFaultyServices?serviceName=C:\Users\Isabel\Desktop\AST_PR2\AST1_apache-tomcat-7.0.59apache-tomcat-7.0.59\webapps\axis2\WEB-INF\pojo\Calculadora.class HTTP/1.1" 200 6184
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:16 +0100] "GET /axis2/services/listServices HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:16 +0100] "GET /axis2/axis2-web/css/axis-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:16 +0100] "GET /axis2/axis2-web/images/asf-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:16 +0100] "GET /axis2/axis2-web/images/axis_l.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:16 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:18 +0100] "GET /axis2/services/listServices HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:18 +0100] "GET /axis2/axis2-web/css/axis-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:18 +0100] "GET /axis2/axis2-web/images/axis_l.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:18 +0100] "GET /axis2/axis2-web/images/asf-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:20 +0100] "GET /axis2/services/ListFaultyServices?serviceName=C:\Users\Isabel\Desktop\AST_PR2\AST1_apache-tomcat-7.0.59apache-tomcat-7.0.59\webapps\axis2\WEB-INF\pojo\Calculadora.class HTTP/1.1" 200 6184
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:47:25 +0100] "GET /axis2/services/ListFaultyServices?serviceName=C:\Users\Isabel\Desktop\AST_PR2\AST1_apache-tomcat-7.0.59apache-tomcat-7.0.59\webapps\axis2\WEB-INF\pojo\HelloWorld.class HTTP/1.1" 200 6183
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:49:04 +0100] "GET /axis2/services/listServices HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:49:04 +0100] "GET /axis2/axis2-web/css/axis-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:49:04 +0100] "GET /axis2/axis2-web/images/axis_l.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:49:04 +0100] "GET /axis2/axis2-web/images/asf-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:50:27 +0100] "GET /axis2/services/listServices HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:50:28 +0100] "GET /axis2/axis2-web/css/axis-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:50:28 +0100] "GET /axis2/axis2-web/images/asf-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:50:28 +0100] "GET /axis2/axis2-web/images/axis_l.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:50:33 +0100] "GET /axis2/services/Resta?wsdl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [04/Mar/2015:22:51:42 +0100] "GET /axis2/services/Suma?wsdl HTTP/1.1" 200 4161
